10.5.18.0, 10.5.18.255, 中国, 福建, null, 中国福建省
1.24.39.0, 1.24.55.255, 中国, 内蒙古, 乌兰察布, 中国内蒙古自治区乌兰察布市
1.24.56.0, 1.24.58.255, 中国, 内蒙古, null, 中国内蒙古自治区
1.26.0.0, 1.26.0.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市扎兰屯区
1.26.1.0, 1.26.5.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市
1.26.6.0, 1.26.6.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市扎兰屯区
1.26.7.0, 1.26.7.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市
1.26.8.0, 1.26.8.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市扎兰屯区
1.26.9.0, 1.26.10.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市阿荣旗区
1.26.11.0, 1.26.11.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市
1.26.12.0, 1.26.12.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市扎兰屯区
1.26.13.0, 1.26.31.255, 中国, 内蒙古, 呼伦贝尔, 中国内蒙古自治区呼伦贝尔市
1.26.32.0, 1.26.95.255, 中国, 内蒙古, 赤峰, 中国内蒙古自治区赤峰市
1.26.96.0, 1.26.98.255, 中国, 内蒙古, null, 中国内蒙古自治区
1.26.99.0, 1.26.99.255, 中国, 内蒙古, 赤峰, 中国内蒙古自治区赤峰市
1.26.100.0, 1.26.109.255, 中国, 内蒙古, null, 中国内蒙古
175.0, 1.194.178.255, 中国, 河南, 平顶山, 中国河南省平顶山市
1.194.179.0, 1.194.181.255, 中国, 河南, 开封, 中国河南省开封市
1.194.182.0, 1.194.182.255, 中国, 河南, null, 中国河南省
1.194.183.0, 1.194.183.255, 中国, 河南, 开封, 中国河南省开封市
1.194.184.0, 1.194.191.255, 中国, 河南, 平顶山, 中国河南省平顶山市
1.194.192.0, 1.194.192.255, 中国, 河南, 安阳, 中国河南省安阳市
1.194.193.0, 1.194.193.255, 中国, 河南, 安阳, 中国河南省安阳市内黄区
1.194.194.0, 1.194.213.255, 中国, 河南, 安阳, 中国河南省安阳市
1.194.214.0, 1.194.214.255, 中国, 河南, 安阳, 中国河南省安阳市内黄区
1.194.215.0, 1.194.255.255, 中国, 河南, 安阳, 中国河南省安阳市
1.195.0.0, 1.195.17.255, 中国, 河南, 新乡, 中国河南省新乡市卫辉区
1.195.18.0, 1.195.18.255, 中国, 河南, 新乡, 中国河南省新乡市
1.195.19.0, 1.195.19.255, 中国, 河南, 新乡, 中国河南省新乡市卫辉区
1.195.20.0, 1.195.23.255, 中国, 河南, 新乡, 中国河南省新乡市辉县区
1.195.24.0, 1.195.26.255, 中国, 河南, 新乡, 中国河南省新乡市延津区
